,codigo_iata,codigo_icao,nivel,nome_publico
0,0B,BLA,5191,Blue Air
1,2F,EZZ,5316,Etf Airways
2,2L,OAW,449,Helvetic
3,2N,LYX,5259,Smart Lynx Malta
4,2W,WFL,5309,World2Fly
5,3O,MAC,4891,Air Arabia Maroc
6,4M,MGH,5310,Mga Airlines
7,4U,GWI,5005,Germanwings
8,4Y,BGA,5234,Airbus Transport International
9,5F,FIA,5291,Flyone
10,5K,HFY,114,Hi Fly Sa
11,5M,HFM,5192,Hi Fly Ltd
12,5O,FPO,5082,Asl Airlines France
13,5P,LLX,5084,Small Planet Airlines
14,6B,BLX,5135,Tuifly Nordic
15,6E,IGO,5300,Indigo
16,6H,ISR,96,Israir
17,6I,Não informado,5251,Air Alisie A/S
18,6K,TAH,5321,Air Anka
19,6Y,ART,5088,Smartlynx Airlines
