,cidade,pais,codigo_iata,nome_publico
0,Não Informado,French Polynes,AAA,"Anaa, Tu"
1,Não Informado,Australia,AAB,"Arrabury, Ql"
2,Al-Arish,Egypt,AAC,Al-Arish
3,Ad-Dabbah,Sudan,AAD,Ad-Dabbah
4,Annaba,Algeria,AAE,Annaba
5,Apalachicola,Usa,AAF,"Municipal, Fl"
6,Não Informado,Brazil,AAG,"Arapoti, Pr"
7,Aachen,Germany,AAH,Merzbrueck
8,Não Informado,Brazil,AAI,"Arraias, Td"
9,Awaradam,Surinam,AAJ,Cayana Airstrip
10,Não Informado,Kiribati,AAK,Aranuka
11,Aalborg,Denmark,AAL,Aalborg
12,Não Informado,South Africa,AAM,Malamala
13,Al Ain,United Arab Emirates (The),AAN,Al Ain
14,Não Informado,Venezuela,AAO,"Anaco, An"
15,Houston,Usa,AAP,"Andrau Airpark, Tx"
16,Anapa,Russia (Cis),AAQ,Vitiazevo
17,Aarhus,Denmark,AAR,Aarhus
18,Não Informado,Indonesia,AAS,Apalapsili
19,Não Informado,China,AAT,Altay
