,ultima_atualizacao,hora_pouso_real,registro_aeronave,tipo_aeronave,retirada_bagagem,codeshare,hora_pouso_estimado,tempo_previsto_esteira,direcao_voo,nome_voo,numero_voo,portao,pier,id,voo_operacional,voo_principal,prefixo_iata,prefixo_icao,codigo_companhia,estado_voo,rota,data_hora_programada,data_programada,hora_programada,tipo_servico,terminal,versao_schema,alocacao_checkin,filtro_seguranca_previsto
0,2025-12-05 01:48:11.128000+01:00,2025-12-04 23:57:38+01:00,PHTFO,"{'iataMain': '737', 'iataSub': '7M8'}",{'belts': ['16']},{'codeshares': 'Não informado'},2025-12-04 23:57:38+01:00,2025-12-05 01:09:14.147000+01:00,A,OR3721,3721,E4,E,143786861076633036,True,OR3721,OR,TFL,231,{'flightStates': ['ARR']},"{'destinations': ['VXE', 'SID'], 'eu': 'N', 'visa': False}",2025-12-05 00:05:00+01:00,2025-12-05,2025-12-05 00:05:00,J,3,4,Não informado,Não informado
1,2025-12-05 01:13:49.080000+01:00,2025-12-04 23:47:27+01:00,PHHXK,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['6']},{'codeshares': ['KL2745']},2025-12-04 23:47:34+01:00,2025-12-05 00:10:46+01:00,A,HV6886,6886,C15,C,143786860121118036,True,HV6886,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['KEF'], 'eu': 'S', 'visa': False}",2025-12-05 00:10:00+01:00,2025-12-05,2025-12-05 00:10:00,J,1,4,Não informado,Não informado
2,2025-12-05 01:13:49.080000+01:00,2025-12-04 23:47:27+01:00,PHHXK,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['6']},{'codeshares': ['KL2745']},2025-12-04 23:47:34+01:00,2025-12-05 00:10:46+01:00,A,KL2745,2745,C15,C,143786860499290298,True,HV6886,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['KEF'], 'eu': 'S', 'visa': False}",2025-12-05 00:10:00+01:00,2025-12-05,2025-12-05 00:10:00,J,1,4,Não informado,Não informado
3,2025-12-05 01:30:10.259000+01:00,2025-12-04 23:53:32+01:00,PHYHA,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['16']},{'codeshares': ['KL2532']},2025-12-04 23:53:37+01:00,2025-12-05 00:54:48.543000+01:00,A,HV6492,6492,E18,E,143786860121107150,True,HV6492,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['AGA'], 'eu': 'N', 'visa': False}",2025-12-05 00:10:00+01:00,2025-12-05,2025-12-05 00:10:00,J,3,4,Não informado,Não informado
4,2025-12-05 01:30:10.259000+01:00,2025-12-04 23:53:32+01:00,PHYHA,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['16']},{'codeshares': ['KL2532']},2025-12-04 23:53:37+01:00,2025-12-05 00:54:48.543000+01:00,A,KL2532,2532,E18,E,143786860499284742,True,HV6492,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['AGA'], 'eu': 'N', 'visa': False}",2025-12-05 00:10:00+01:00,2025-12-05,2025-12-05 00:10:00,J,3,4,Não informado,Não informado
5,2025-12-05 01:42:19.077000+01:00,2025-12-05 00:05:27+01:00,PHYHX,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['16']},{'codeshares': ['KL2624']},2025-12-05 00:05:41+01:00,2025-12-05 01:07:34.973000+01:00,A,HV5752,5752,E6,E,143786860121013762,True,HV5752,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['RAK'], 'eu': 'N', 'visa': False}",2025-12-05 00:25:00+01:00,2025-12-05,2025-12-05 00:25:00,J,3,4,Não informado,Não informado
6,2025-12-05 01:42:19.077000+01:00,2025-12-05 00:05:27+01:00,PHYHX,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['16']},{'codeshares': ['KL2624']},2025-12-05 00:05:41+01:00,2025-12-05 01:07:34.973000+01:00,A,KL2624,2624,E6,E,143786860499287410,True,HV5752,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['RAK'], 'eu': 'N', 'visa': False}",2025-12-05 00:25:00+01:00,2025-12-05,2025-12-05 00:25:00,J,3,4,Não informado,Não informado
7,2025-12-05 02:30:21.092000+01:00,2025-12-05 00:22:35+01:00,PHYHW,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['15']},{'codeshares': ['KL2591']},2025-12-05 00:23:02+01:00,2025-12-05 01:45:50.448000+01:00,A,HV6672,6672,D77,D,143786860121112478,True,HV6672,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['TFS'], 'eu': 'S', 'visa': False}",2025-12-05 00:35:00+01:00,2025-12-05,2025-12-05 00:35:00,J,3,4,Não informado,Não informado
8,2025-12-05 02:30:21.092000+01:00,2025-12-05 00:22:35+01:00,PHYHW,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['15']},{'codeshares': ['KL2591']},2025-12-05 00:23:02+01:00,2025-12-05 01:45:50.448000+01:00,A,KL2591,2591,D77,D,143786860499285184,True,HV6672,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['TFS'], 'eu': 'S', 'visa': False}",2025-12-05 00:35:00+01:00,2025-12-05,2025-12-05 00:35:00,J,3,4,Não informado,Não informado
9,2025-12-05 02:30:28.094000+01:00,2025-12-05 00:20:35+01:00,PHYHZ,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['15']},{'codeshares': 'Não informado'},2025-12-05 00:20:50+01:00,2025-12-05 02:00:23.931000+01:00,A,HV6706,6706,C9,C,143786860121114706,True,HV6706,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['FUE'], 'eu': 'S', 'visa': False}",2025-12-05 00:45:00+01:00,2025-12-05,2025-12-05 00:45:00,J,3,4,Não informado,Não informado
