,lastUpdatedAt,actualLandingTime,aircraftType,baggageClaim,estimatedLandingTime,expectedTimeOnBelt,flightDirection,flightName,flightNumber,id,isOperationalFlight,mainFlight,prefixIATA,prefixICAO,airlineCode,publicFlightState,route,scheduleDateTime,scheduleDate,scheduleTime,serviceType,terminal,schemaVersion,codeshares
0,2025-08-10T03:01:49.091+02:00,2025-08-10T00:47:03.000+02:00,"{'iataMain': '737', 'iataSub': '7M8'}",{'belts': ['20']},2025-08-10T00:46:59.000+02:00,2025-08-10T02:12:26.136+02:00,A,OR3016,3016,142964940884396292,True,OR3016,OR,TFL,231,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['AYT'], 'eu': 'N', 'visa': False}",2025-08-10T00:20:00.000+02:00,2025-08-10,00:20:00,J,4.0,4,
1,2025-08-10T00:14:20.037+02:00,2025-08-10T00:00:35.000+02:00,"{'iataMain': '74F', 'iataSub': '74Y'}",,2025-08-10T00:00:25.000+02:00,,A,SQ7393,7393,142964941435813650,True,SQ7393,SQ,SIA,152,"{'flightStates': ['LND', 'EXP']}","{'destinations': ['LHR'], 'eu': 'N', 'visa': False}",2025-08-10T00:25:00.000+02:00,2025-08-10,00:25:00,F,,4,
2,2025-08-10T03:29:07.090+02:00,2025-08-10T01:31:15.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['4']},2025-08-10T01:31:37.000+02:00,2025-08-10T02:23:40.000+02:00,A,HV6862,6862,142964939928900366,True,HV6862,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['ATH'], 'eu': 'S', 'visa': False}",2025-08-10T00:25:00.000+02:00,2025-08-10,00:25:00,J,1.0,4,
3,2025-08-10T01:53:56.089+02:00,2025-08-10T00:09:05.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['2']},2025-08-10T00:09:16.000+02:00,2025-08-10T00:47:53.000+02:00,A,HV5762,5762,142964939928796322,True,HV5762,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['GRO'], 'eu': 'S', 'visa': False}",2025-08-10T00:30:00.000+02:00,2025-08-10,00:30:00,J,1.0,4,
4,2025-08-10T02:04:56.093+02:00,2025-08-10T00:15:39.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['4']},2025-08-10T00:16:26.000+02:00,2025-08-10T00:49:59.000+02:00,A,HV5666,5666,142964939928793592,True,HV5666,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['LPA'], 'eu': 'S', 'visa': False}",2025-08-10T00:35:00.000+02:00,2025-08-10,00:35:00,J,1.0,4,{'codeshares': ['KL2573']}
5,2025-08-10T02:04:56.093+02:00,2025-08-10T00:15:39.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['4']},2025-08-10T00:16:26.000+02:00,2025-08-10T00:49:59.000+02:00,A,KL2573,2573,142964940307067526,True,HV5666,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['LPA'], 'eu': 'S', 'visa': False}",2025-08-10T00:35:00.000+02:00,2025-08-10,00:35:00,J,1.0,4,{'codeshares': ['KL2573']}
6,2025-08-10T02:11:25.903+02:00,2025-08-10T00:28:41.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['18']},2025-08-10T00:28:56.000+02:00,2025-08-10T01:40:43.743+02:00,A,OR1022,1022,142964940884193746,True,OR1022,OR,TFL,231,{'flightStates': ['ARR']},"{'destinations': ['PVK'], 'eu': 'S', 'visa': False}",2025-08-10T00:35:00.000+02:00,2025-08-10,00:35:00,J,3.0,4,
7,2025-08-10T02:11:38.096+02:00,2025-08-10T00:33:28.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['6']},2025-08-10T00:33:28.000+02:00,2025-08-10T01:04:37.000+02:00,A,HV6620,6620,142964939928894590,True,HV6620,HV,TRA,164,{'flightStates': ['ARR']},"{'destinations': ['HER'], 'eu': 'S', 'visa': False}",2025-08-10T00:35:00.000+02:00,2025-08-10,00:35:00,J,1.0,4,{'codeshares': ['KL2571']}
8,2025-08-10T02:11:38.096+02:00,2025-08-10T00:33:28.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['6']},2025-08-10T00:33:28.000+02:00,2025-08-10T01:04:37.000+02:00,A,KL2571,2571,142964940307067522,True,HV6620,KL,KLM,100,{'flightStates': ['ARR']},"{'destinations': ['HER'], 'eu': 'S', 'visa': False}",2025-08-10T00:35:00.000+02:00,2025-08-10,00:35:00,J,1.0,4,{'codeshares': ['KL2571']}
9,2025-08-10T03:06:39.094+02:00,2025-08-10T00:55:43.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['15']},2025-08-10T00:55:32.000+02:00,2025-08-10T02:21:57.460+02:00,A,HV924,924,142964938765808626,True,HV924,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['AYT'], 'eu': 'N', 'visa': False}",2025-08-10T00:35:00.000+02:00,2025-08-10,00:35:00,J,3.0,4,
