,lastUpdatedAt,actualLandingTime,aircraftType,baggageClaim,estimatedLandingTime,expectedTimeOnBelt,flightDirection,flightName,flightNumber,id,isOperationalFlight,mainFlight,prefixIATA,prefixICAO,airlineCode,publicFlightState,route,scheduleDateTime,scheduleDate,scheduleTime,serviceType,terminal,schemaVersion,codeshares
0,2025-08-15T01:46:03.166+02:00,2025-08-15T00:11:34.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['4']},2025-08-15T00:11:34.000+02:00,2025-08-15T00:39:03.793+02:00,A,HV802,802,143000063560344946,True,HV802,HV,TRA,164,"{'flightStates': ['FIB', 'EXP']}","{'destinations': ['MJT'], 'eu': 'S', 'visa': False}",2025-08-15T00:00:00.000+02:00,2025-08-15,00:00:00,J,1.0,4,
1,2025-08-15T01:33:42.488+02:00,2025-08-15T00:02:07.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['2']},2025-08-15T00:02:07.000+02:00,2025-08-15T00:27:47.000+02:00,A,HV6334,6334,143000064723425668,True,HV6334,HV,TRA,164,{'flightStates': ['ARR']},"{'destinations': ['VLC'], 'eu': 'S', 'visa': False}",2025-08-15T00:10:00.000+02:00,2025-08-15,00:10:00,J,1.0,4,
2,2025-08-15T01:59:59.307+02:00,2025-08-15T00:25:35.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['2']},2025-08-15T00:25:35.000+02:00,2025-08-15T00:54:31.000+02:00,A,HV6146,6146,143000064723420270,True,HV6146,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['ALC'], 'eu': 'S', 'visa': False}",2025-08-15T00:10:00.000+02:00,2025-08-15,00:10:00,J,1.0,4,{'codeshares': ['KL2642']}
3,2025-08-15T01:59:59.307+02:00,2025-08-15T00:25:35.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['2']},2025-08-15T00:25:35.000+02:00,2025-08-15T00:54:31.000+02:00,A,KL2642,2642,143000065101609250,True,HV6146,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['ALC'], 'eu': 'S', 'visa': False}",2025-08-15T00:10:00.000+02:00,2025-08-15,00:10:00,J,1.0,4,{'codeshares': ['KL2642']}
4,2025-08-15T02:04:52.153+02:00,2025-08-15T00:32:51.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['6']},2025-08-15T00:32:51.000+02:00,2025-08-15T00:59:52.782+02:00,A,HV5586,5586,143000064723330212,True,HV5586,HV,TRA,164,"{'flightStates': ['FIB', 'EXP']}","{'destinations': ['NCE'], 'eu': 'S', 'visa': False}",2025-08-15T00:15:00.000+02:00,2025-08-15,00:15:00,J,1.0,4,
5,2025-08-15T01:46:40.093+02:00,2025-08-15T00:13:39.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['6']},2025-08-15T00:13:39.000+02:00,2025-08-15T00:43:02.000+02:00,A,HV5360,5360,143000064723324576,True,HV5360,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['FAO'], 'eu': 'S', 'visa': False}",2025-08-15T00:25:00.000+02:00,2025-08-15,00:25:00,J,1.0,4,{'codeshares': ['KL2570']}
6,2025-08-15T01:46:40.093+02:00,2025-08-15T00:13:39.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['6']},2025-08-15T00:13:39.000+02:00,2025-08-15T00:43:02.000+02:00,A,KL2570,2570,143000065101606730,True,HV5360,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['FAO'], 'eu': 'S', 'visa': False}",2025-08-15T00:25:00.000+02:00,2025-08-15,00:25:00,J,1.0,4,{'codeshares': ['KL2570']}
7,2025-08-15T02:28:05.371+02:00,2025-08-15T00:38:33.000+02:00,"{'iataMain': '737', 'iataSub': '7M8'}",{'belts': ['18']},2025-08-15T00:38:33.000+02:00,2025-08-15T01:14:28.793+02:00,A,OR1502,1502,143000065678746498,True,OR1502,OR,TFL,231,"{'flightStates': ['FIB', 'EXP']}","{'destinations': ['PMI'], 'eu': 'S', 'visa': False}",2025-08-15T00:25:00.000+02:00,2025-08-15,00:25:00,J,3.0,4,
8,2025-08-15T02:01:52.083+02:00,2025-08-15T00:30:59.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['19']},2025-08-15T00:30:59.000+02:00,2025-08-15T01:29:37.382+02:00,A,OR1702,1702,143000065678751974,True,OR1702,OR,TFL,231,{'flightStates': ['ARR']},"{'destinations': ['FAO'], 'eu': 'S', 'visa': False}",2025-08-15T00:35:00.000+02:00,2025-08-15,00:35:00,J,4.0,4,
9,2025-08-15T00:14:29.419+02:00,2025-08-15T00:07:17.000+02:00,"{'iataMain': '74F', 'iataSub': '74Y'}",,2025-08-15T00:07:17.000+02:00,,A,SQ7395,7395,143000066230352864,True,SQ7395,SQ,SIA,152,"{'flightStates': ['LND', 'EXP']}","{'destinations': ['LHR'], 'eu': 'N', 'visa': False}",2025-08-15T00:40:00.000+02:00,2025-08-15,00:40:00,F,,4,
